Strain,ZIKV,Sample,16S_Ct,S7_Ct,16S-S7,Abundance,Distribution
RGV,Infected,RGV37,16.86658096,24.56514072,-7.69855976,51.76725159,Infected_High
RGV,Infected,RGV38,18.4880724,26.09947205,-7.61139965,48.73234393,Infected_High
RGV,Infected,RGV39,18.2253685,25.17674255,-6.95137405,30.84109557,Infected_High
RGV,Infected,RGV40,24.14196205,28.78195,-4.63998795,6.213456318,Infected_High
RGV,Infected,RGV44,23.32682705,28.86824989,-5.54142284,11.6062572,Infected_High
RGV,Infected,RGV45,23.34274864,29.2592268,-5.91647816,15.05203058,Infected_High
RGV,Infected,RGV46,22.14999962,28.45299911,-6.30299949,19.67657957,Infected_High
RGV,Infected,RGV52,21.84605885,23.00970459,-1.16364574,0.558277299,Infected_Low
RGV,Infected,RGV54,21.4629097,23.53935623,-2.07644653,1.051066966,Infected_Low
RGV,Infected,RGV56,18.59522438,22.87869549,-4.28347111,4.85300777,Infected_High
RGV,Infected,RGV57,22.31372929,22.65852833,-0.34479904,0.316484577,Infected_Low
RGV,Infected,RGV58,22.42172718,22.51948547,-0.09775829,0.266677193,Infected_Low
RGV,Infected,RGV59,21.98259068,22.15407467,-0.17148399,0.280659354,Infected_Low
RGV,Infected,RGV60,20.89202976,22.94732666,-2.0552969,1.03577092,Infected_Low
RGV,Infected,RGV61,22.57574368,22.49894905,0.07679463,0.236287208,Infected_Low
RGV,Infected,RGV63,22.85167789,22.43189716,0.41978073,0.18629067,Infected_Low
RGV,Infected,RGV67,21.73439693,22.77597332,-1.04157639,0.512983543,Infected_Low
RGV,Infected,RGV73,21.905406,22.98099422,-1.07558822,0.525220918,Infected_Low
RGV,Infected,RGV74,22.5674057,22.46526623,0.10213947,0.232172433,Infected_Low
RGV,Infected,RGV75,22.52563381,22.25963879,0.26599502,0.207245552,Infected_Low
RGV,Infected,RGV76,23.80572128,22.36383343,1.44188785,0.091728904,Infected_Low
RGV,Infected,RGV77,21.00667953,22.21377754,-1.20709801,0.575347732,Infected_Low
RGV,Infected,RGV78,23.62739658,23.46863461,0.15876197,0.223236694,Infected_Low
RGV,Infected,RGV80,24.97114182,22.15938568,2.81175614,0.03549235,Infected_Low
RGV,Infected,RGV81,22.43690491,22.58052444,-0.14361953,0.275290664,Infected_Low
RGV,Infected,RGV83,22.92088985,22.00455189,0.91633796,0.132042119,Infected_Low
RGV,Infected,RGV84,23.58027744,23.1162529,0.46402454,0.18066432,Infected_Low
